ax,ay,az,state,ultrasound,stepdetected
-0.031964,-0.040016,0.997960,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.035868,-0.050996,1.010404,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.046604,-0.055144,1.009184,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.044408,-0.048312,1.013576,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.050264,-0.054412,1.002840,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.044652,-0.041724,1.000400,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.041968,-0.043676,0.993324,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.017568,-0.037332,1.000156,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.027572,-0.047336,0.988200,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.022692,-0.050264,0.988688,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.013176,-0.055144,0.994300,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.008784,-0.062464,0.992104,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.003172,-0.057584,1.000888,LOOKING_FOR_SECOND_MAX,0.520000,0
0.000976,-0.058072,1.007476,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.015616,-0.051484,1.002108,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.019032,-0.051728,1.000156,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.022448,-0.054412,0.998448,LOOKING_FOR_SECOND_MAX,0.520000,0
0.002684,-0.057828,1.004060,LOOKING_FOR_SECOND_MAX,0.520000,0
0.005368,-0.050996,1.002596,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.007564,-0.040748,1.000400,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.025620,-0.022204,1.000644,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.009760,-0.031232,1.000644,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.010736,-0.029036,1.014308,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.026840,-0.025864,1.013088,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.033184,-0.033428,1.007232,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.032696,-0.036600,1.005280,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.034404,-0.033184,1.014308,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.034648,-0.030988,1.003572,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.031232,-0.033672,0.993812,LOOKING_FOR_SECOND_MAX,0.520000,0
0.003172,-0.026352,1.000400,LOOKING_FOR_SECOND_MAX,0.520000,0
0.011956,-0.017324,1.000400,LOOKING_FOR_SECOND_MAX,0.520000,0
0.011468,-0.023424,0.980636,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.020252,0.000000,1.010892,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.020008,0.005124,1.015040,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.023424,0.000244,1.010648,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.039284,-0.015128,1.008452,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.035136,-0.010736,1.025532,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.040504,-0.024400,1.032852,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.007320,-0.027084,1.046516,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.004880,-0.018300,1.032852,LOOKING_FOR_SECOND_MAX,0.520000,0
0.004636,-0.005612,1.044076,LOOKING_FOR_SECOND_MAX,0.520000,0
0.000244,-0.001952,1.027728,LOOKING_FOR_SECOND_MAX,0.520000,0
0.014396,0.014884,1.024068,LOOKING_FOR_SECOND_MAX,0.520000,0
0.021228,0.013176,1.031632,LOOKING_FOR_SECOND_MAX,0.520000,0
0.032208,0.033428,1.015040,LOOKING_FOR_SECOND_MAX,0.520000,0
0.030500,0.014396,1.006988,LOOKING_FOR_SECOND_MAX,0.520000,0
0.014884,0.007320,1.006012,LOOKING_FOR_SECOND_MAX,0.520000,0
0.006100,-0.005612,0.998936,LOOKING_FOR_SECOND_MAX,0.520000,0
0.029036,0.001464,0.986980,LOOKING_FOR_SECOND_MAX,0.520000,0
0.046604,-0.000732,1.001864,LOOKING_FOR_SECOND_MAX,0.520000,0
0.035136,-0.000488,0.996008,LOOKING_FOR_SECOND_MAX,0.520000,0
0.027816,0.009760,1.000888,LOOKING_FOR_SECOND_MAX,0.520000,0
0.016836,0.003904,0.987956,LOOKING_FOR_SECOND_MAX,0.520000,0
0.019032,-0.000976,0.963556,LOOKING_FOR_SECOND_MAX,0.520000,0
0.024888,-0.001220,0.978196,LOOKING_FOR_SECOND_MAX,0.520000,0
0.032208,0.000976,0.975756,LOOKING_FOR_SECOND_MAX,0.520000,0
0.032452,0.005612,0.965264,LOOKING_FOR_SECOND_MAX,0.520000,0
0.031476,0.002928,0.961360,LOOKING_FOR_SECOND_MAX,0.520000,0
0.037088,0.003172,0.977952,LOOKING_FOR_SECOND_MAX,0.520000,0
0.047092,-0.004636,0.979904,LOOKING_FOR_SECOND_MAX,0.520000,0
0.042212,0.010004,0.983808,LOOKING_FOR_SECOND_MAX,0.520000,0
0.041968,0.018544,0.991616,LOOKING_FOR_SECOND_MAX,0.520000,0
0.040260,0.005368,0.984784,LOOKING_FOR_SECOND_MAX,0.520000,0
0.061000,-0.002684,0.999180,LOOKING_FOR_SECOND_MAX,0.520000,0
0.101260,-0.007564,0.998204,LOOKING_FOR_SECOND_MAX,0.520000,0
0.087108,-0.006344,1.000156,LOOKING_FOR_SECOND_MAX,0.520000,0
0.085888,-0.003904,1.000156,LOOKING_FOR_SECOND_MAX,0.520000,0
0.073200,-0.003416,0.999912,LOOKING_FOR_SECOND_MAX,0.520000,0
0.069784,0.001708,1.000888,LOOKING_FOR_SECOND_MAX,0.520000,0
0.073688,-0.001220,1.011136,LOOKING_FOR_SECOND_MAX,0.520000,0
0.067832,0.015128,1.031632,LOOKING_FOR_SECOND_MAX,0.520000,0
0.064660,0.020496,1.032120,LOOKING_FOR_SECOND_MAX,0.520000,0
0.087108,0.011224,1.008452,LOOKING_FOR_SECOND_MAX,0.520000,0
0.109068,0.025620,1.012844,LOOKING_FOR_SECOND_MAX,0.520000,0
0.099308,0.013420,1.002352,LOOKING_FOR_SECOND_MAX,0.520000,0
0.103700,0.010492,1.009672,LOOKING_FOR_SECOND_MAX,0.520000,0
0.104188,0.015616,1.020408,LOOKING_FOR_SECOND_MAX,0.520000,0
0.096380,0.016348,1.004304,LOOKING_FOR_SECOND_MAX,0.520000,0
0.091744,0.017324,1.003572,LOOKING_FOR_SECOND_MAX,0.520000,0
0.056364,0.009272,1.027484,LOOKING_FOR_SECOND_MAX,0.520000,0
0.047580,0.016104,1.042124,LOOKING_FOR_SECOND_MAX,0.520000,0
0.047336,0.013908,1.046516,LOOKING_FOR_SECOND_MAX,0.520000,0
0.051484,0.020740,1.078724,LOOKING_FOR_SECOND_MAX,0.520000,0
0.042700,0.014152,1.057252,LOOKING_FOR_SECOND_MAX,0.520000,0
0.035624,0.013908,1.037244,LOOKING_FOR_SECOND_MAX,0.520000,0
0.029524,-0.026596,1.041636,LOOKING_FOR_SECOND_MAX,0.520000,0
0.031720,-0.037576,1.077748,LOOKING_FOR_SECOND_MAX,0.520000,0
0.035380,-0.034648,1.092632,LOOKING_FOR_SECOND_MAX,0.520000,0
0.015616,-0.033916,1.109956,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.075396,-0.035380,1.121912,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.110288,-0.052948,1.136796,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.146644,-0.050996,1.131184,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.131760,-0.057096,1.096048,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.111996,-0.050264,1.093120,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.058804,-0.070272,1.015528,LOOKING_FOR_SECOND_MAX,0.520000,0
0.055144,-0.071980,0.947208,LOOKING_FOR_SECOND_MAX,0.520000,0
0.008540,-0.085156,0.969656,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.026352,-0.085400,0.992348,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.094916,-0.050264,1.019432,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.112240,-0.061000,1.037244,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.126392,-0.065148,1.043344,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.091988,-0.083692,1.006256,LOOKING_FOR_SECOND_MAX,0.520000,0
-0.015616,-0.087108,0.960140,LOOKING_FOR_SECOND_MAX,0.520000,0
0.119804,-0.053192,0.928420,LOOKING_FOR_SECOND_MAX,0.520000,0
0.099064,-0.059780,0.901824,LOOKING_FOR_SECOND_MAX,0.520000,0
0.063928,-0.065636,0.915732,LOOKING_FOR_SECOND_MAX,0.520000,0
0.059292,-0.048556,0.936716,LOOKING_FOR_SECOND_MAX,0.520000,0
