0.119,-0.044,1.011,5.005,5.371,-2.563
0.109,-0.048,1.025,6.165,4.639,-3.662
0.094,-0.052,1.030,7.690,4.395,-4.700
0.080,-0.054,1.032,7.874,5.188,-5.859
0.070,-0.057,1.038,7.507,7.080,-6.653
0.063,-0.050,1.050,6.226,8.850,-7.324
0.050,-0.050,1.055,5.005,10.254,-7.935
0.042,-0.052,1.064,4.150,11.536,-8.789
0.032,-0.065,1.068,3.235,12.817,-9.766
0.018,-0.081,1.069,0.916,14.343,-10.986
0.012,-0.089,1.055,-3.113,17.029,-11.841
0.013,-0.080,1.022,-7.446,21.790,-11.719
0.036,-0.057,1.001,-11.047,28.992,-9.949
0.077,-0.034,1.000,-13.367,36.377,-6.775
0.121,0.001,1.007,-15.137,40.833,-3.845
0.132,0.062,1.038,-14.587,40.649,-2.197
0.120,0.115,1.122,-9.338,34.790,-2.930
0.113,0.118,1.255,0.732,21.606,-6.958
0.090,0.042,1.374,12.573,1.221,-15.259
0.033,-0.058,1.401,23.193,-23.010,-27.710
-0.073,-0.095,1.427,29.114,-45.837,-41.931
-0.205,-0.098,1.379,30.640,-61.096,-51.453
-0.309,-0.119,1.251,32.715,-63.904,-52.307
-0.389,-0.105,1.117,28.503,-52.979,-44.312
-0.404,-0.106,0.978,20.752,-31.372,-28.931
-0.353,-0.107,0.871,8.789,-4.456,-10.681
-0.248,-0.094,0.839,-5.737,22.461,5.676
-0.137,-0.057,0.877,-18.616,43.213,17.395
-0.060,0.007,0.918,-24.902,52.979,23.315
-0.014,0.069,0.928,-22.888,52.368,25.635
0.056,0.064,0.919,-15.076,44.617,26.245
0.086,0.049,0.907,-5.127,33.386,24.414
0.087,0.041,0.912,-1.160,20.508,20.386
0.084,0.040,0.941,-4.639,7.507,15.259
0.061,0.064,0.966,-9.583,-3.357,9.644
0.020,0.109,0.992,-11.780,-11.902,5.188
-0.008,0.130,0.999,-8.606,-17.090,2.991
-0.019,0.096,0.982,-1.770,-17.822,2.563
-0.034,0.085,1.000,0.122,-14.709,2.136
-0.039,0.096,1.001,-0.366,-9.949,1.221
-0.041,0.092,0.997,0.427,-4.456,0.488
-0.050,0.083,0.990,0.793,1.343,-0.671
-0.048,0.081,0.976,0.854,7.690,-1.953
-0.034,0.073,0.966,1.038,13.611,-3.235
-0.020,0.074,0.959,0.427,18.005,-3.906
-0.008,0.081,0.946,0.122,20.630,-4.272
0.006,0.087,0.937,1.099,21.545,-4.395
0.019,0.075,0.915,3.662,21.179,-4.944
0.033,0.060,0.894,6.348,20.447,-5.859
0.041,0.047,0.873,7.935,19.348,-7.385
0.050,0.032,0.858,8.362,18.005,-8.728
0.062,0.015,0.866,8.118,16.052,-9.827
0.068,0.001,0.875,7.324,12.939,-10.681
0.062,-0.002,0.881,5.981,8.728,-11.414
0.056,0.002,0.897,5.188,4.456,-11.230
0.051,0.007,0.917,5.554,0.916,-10.498
0.042,0.004,0.923,6.592,-1.648,-9.766
0.036,0.002,0.923,7.629,-2.686,-8.667
0.035,0.001,0.925,8.057,-2.747,-7.507
0.032,-0.000,0.915,7.812,-2.258,-5.981
0.037,-0.003,0.906,7.324,-1.221,-4.578
0.053,-0.005,0.903,6.287,0.854,-3.418
0.065,-0.006,0.896,5.249,2.319,-2.441
0.078,-0.010,0.886,4.150,3.113,-1.343
0.096,-0.014,0.884,3.174,3.113,-0.305
0.108,-0.016,0.882,1.770,2.075,0.671
0.118,-0.019,0.890,0.366,0.000,1.404
0.121,-0.022,0.901,-1.404,-2.441,1.648
0.119,-0.026,0.897,-3.113,-4.883,2.197
0.121,-0.027,0.909,-5.554,-7.263,2.319
0.122,-0.016,0.938,-7.935,-9.155,2.502
0.118,-0.028,0.945,-8.301,-11.108,3.113
0.114,-0.031,0.968,-8.423,-11.536,3.418
0.106,-0.032,0.973,-9.888,-10.925,3.906
0.103,-0.027,0.962,-11.536,-8.240,5.371
0.113,-0.003,0.965,-12.146,-3.601,7.751
0.129,0.023,0.964,-12.085,0.061,11.230
0.152,0.034,0.973,-10.437,2.441,14.282
