ax,ay,az,gx,gy,gz
-0.241,-0.290,0.922,3.540,2.930,2.625
-0.241,-0.267,0.933,3.845,3.357,1.892
-0.248,-0.253,0.956,3.784,3.845,2.014
-0.250,-0.269,0.967,3.845,3.845,2.869
-0.251,-0.288,0.958,3.967,3.052,3.357
-0.247,-0.302,0.941,4.150,2.441,3.235
-0.241,-0.297,0.939,4.150,2.502,2.991
-0.240,-0.279,0.960,4.150,3.174,2.197
-0.241,-0.271,0.987,4.150,3.662,2.075
-0.247,-0.281,1.000,3.601,3.113,2.380
-0.241,-0.294,0.984,3.052,1.770,2.502
-0.238,-0.309,0.958,2.991,0.183,2.502
-0.240,-0.306,0.939,2.625,-0.244,1.709
-0.242,-0.281,0.942,2.869,0.061,0.366
-0.236,-0.248,0.959,3.296,0.610,-0.427
-0.244,-0.228,0.978,3.418,0.793,-0.122
-0.248,-0.233,0.975,3.540,-0.183,0.977
-0.246,-0.261,0.949,3.967,-1.282,2.136
-0.242,-0.289,0.930,4.272,-1.465,2.808
-0.237,-0.298,0.926,4.333,-0.854,2.136
-0.232,-0.291,0.937,4.028,0.000,1.221
-0.229,-0.282,0.966,3.418,0.732,0.549
-0.236,-0.283,0.986,2.625,0.427,0.549
-0.241,-0.296,0.967,2.502,-0.793,0.366
-0.242,-0.302,0.933,2.502,-2.014,0.061
-0.244,-0.288,0.912,2.930,-2.197,-0.488
-0.246,-0.266,0.901,3.601,-1.831,-0.854
-0.247,-0.273,0.906,3.906,-0.671,-0.549
-0.246,-0.292,0.912,3.479,0.305,0.061
-0.239,-0.315,0.911,3.113,0.671,0.122
-0.235,-0.325,0.907,2.869,1.343,-0.305
-0.228,-0.306,0.917,2.319,2.258,-1.221
-0.235,-0.271,0.936,1.892,2.808,-2.258
-0.237,-0.252,0.956,1.953,2.930,-2.258
-0.237,-0.247,0.959,2.075,2.441,-1.648
-0.241,-0.259,0.949,2.319,1.221,-0.854
-0.245,-0.268,0.933,2.258,0.549,-0.549
-0.248,-0.278,0.927,2.136,0.488,-0.549
-0.243,-0.275,0.925,2.075,0.793,-0.793
-0.245,-0.265,0.933,2.319,1.282,-1.404
-0.253,-0.257,0.935,2.808,1.465,-1.709
-0.254,-0.262,0.929,3.296,1.465,-1.404
-0.256,-0.268,0.919,3.601,1.404,-1.282
-0.248,-0.267,0.913,3.845,1.709,-1.648
-0.250,-0.256,0.912,3.784,2.075,-2.136
-0.253,-0.231,0.915,2.563,2.441,-2.197
-0.259,-0.215,0.918,2.625,2.441,-1.465
-0.258,-0.214,0.920,3.662,2.441,-0.366
-0.256,-0.228,0.925,3.784,2.747,0.671
-0.253,-0.248,0.929,3.662,3.174,1.831
-0.253,-0.259,0.933,3.723,3.540,2.136
-0.259,-0.256,0.929,3.845,3.479,2.197
-0.256,-0.261,0.931,3.296,3.601,2.747
-0.254,-0.267,0.942,2.502,4.150,2.991
-0.256,-0.269,0.959,1.892,4.883,2.686
-0.261,-0.265,0.966,1.221,4.639,2.258
-0.266,-0.242,0.967,0.366,3.784,1.831
-0.276,-0.217,0.956,0.854,2.869,1.709
-0.280,-0.202,0.944,1.587,2.686,2.258
-0.280,-0.195,0.945,1.953,2.563,3.235
-0.284,-0.208,0.957,2.380,2.808,4.395
-0.276,-0.234,0.961,2.686,2.808,5.737
-0.276,-0.256,0.964,2.380,2.625,6.714
-0.273,-0.266,0.963,2.014,2.625,7.080
-0.277,-0.272,0.964,2.686,2.441,6.958
-0.277,-0.282,0.967,3.540,2.197,6.897
-0.276,-0.296,0.966,3.723,1.587,6.958
-0.270,-0.305,0.960,3.845,1.099,7.202
-0.264,-0.305,0.956,3.601,0.732,6.775
-0.263,-0.301,0.957,3.235,0.366,6.104
-0.264,-0.301,0.955,3.113,0.122,5.859
-0.265,-0.299,0.951,2.686,-0.305,5.493
-0.265,-0.286,0.943,2.319,-0.488,5.066
-0.264,-0.268,0.942,2.319,-0.793,4.700
-0.271,-0.259,0.939,2.380,-1.038,5.066
-0.266,-0.264,0.940,2.625,-1.160,5.737
-0.266,-0.279,0.936,2.563,-1.343,6.470
-0.266,-0.295,0.927,2.502,-1.587,6.897
-0.265,-0.305,0.922,2.441,-1.648,6.897
-0.266,-0.304,0.923,2.197,-1.465,6.470
-0.271,-0.295,0.920,1.526,-1.160,5.859
-0.272,-0.285,0.914,1.892,-1.099,5.493
-0.277,-0.276,0.909,2.319,-0.916,5.737
-0.277,-0.283,0.906,2.441,-0.183,6.348
-0.275,-0.304,0.907,3.174,0.488,6.836
-0.270,-0.321,0.912,3.113,1.221,6.775
-0.263,-0.322,0.926,2.747,1.587,6.165
-0.266,-0.305,0.939,2.014,1.709,5.188
-0.275,-0.284,0.936,1.648,1.343,4.700
-0.279,-0.275,0.927,2.136,0.427,5.005
-0.282,-0.272,0.912,2.625,-0.305,5.249
-0.277,-0.271,0.902,2.869,-0.183,5.310
-0.274,-0.269,0.906,3.174,0.244,5.371
-0.274,-0.277,0.912,3.662,0.977,5.798
-0.267,-0.293,0.912,4.089,1.526,5.981
-0.268,-0.299,0.905,3.967,1.831,5.920
-0.266,-0.297,0.903,3.662,2.136,5.432
-0.264,-0.297,0.907,4.150,2.808,5.066
-0.260,-0.300,0.919,4.089,3.296,4.700
-0.259,-0.304,0.928,3.601,3.479,4.456
-0.256,-0.302,0.936,2.930,3.357,4.150
-0.261,-0.286,0.939,2.441,2.991,3.479
-0.264,-0.272,0.935,2.441,2.686,3.052
-0.266,-0.265,0.931,2.380,2.258,2.930
-0.263,-0.264,0.922,2.747,1.770,3.052
-0.265,-0.251,0.919,2.380,1.648,3.052
-0.266,-0.240,0.914,1.892,1.587,3.296
-0.267,-0.238,0.916,1.953,1.831,4.028
-0.269,-0.248,0.921,2.136,2.014,4.700
-0.270,-0.267,0.924,1.953,2.258,5.310
-0.266,-0.289,0.924,2.258,2.319,5.432
-0.268,-0.294,0.922,2.014,2.319,5.005
-0.269,-0.278,0.914,1.953,2.136,3.967
-0.276,-0.261,0.907,2.258,2.197,3.296
-0.279,-0.257,0.907,2.991,2.869,3.357
-0.274,-0.264,0.915,3.601,3.418,3.784
-0.270,-0.266,0.933,3.906,4.028,3.967
-0.268,-0.266,0.952,3.845,4.211,3.967
-0.271,-0.273,0.958,3.845,3.784,4.272
-0.268,-0.287,0.949,3.662,2.991,4.456
-0.271,-0.290,0.932,3.723,2.075,4.272
-0.276,-0.291,0.917,3.845,1.587,3.540
-0.277,-0.292,0.910,4.395,1.770,3.052
-0.278,-0.286,0.911,4.272,2.380,2.686
-0.274,-0.282,0.916,4.517,2.747,2.319
-0.272,-0.275,0.924,4.944,2.991,2.014
-0.275,-0.270,0.927,4.700,3.418,1.831
-0.277,-0.275,0.919,4.639,3.662,1.953
-0.277,-0.281,0.912,5.127,3.723,2.258
-0.272,-0.279,0.919,5.188,4.150,2.136
-0.273,-0.274,0.936,4.944,4.822,2.014
-0.272,-0.280,0.943,5.310,4.578,2.136
-0.270,-0.291,0.941,4.883,4.028,2.441
-0.272,-0.299,0.933,4.578,3.418,2.380
-0.279,-0.298,0.922,4.456,3.479,1.709
-0.284,-0.290,0.915,4.517,3.601,1.099
-0.281,-0.285,0.915,4.700,4.089,0.793
-0.274,-0.272,0.929,4.822,4.578,0.549
-0.274,-0.272,0.949,4.456,5.310,0.732
-0.276,-0.290,0.955,4.456,5.188,1.404
-0.273,-0.308,0.953,3.906,4.517,1.587
-0.271,-0.318,0.944,3.357,3.784,1.099
-0.268,-0.312,0.938,3.296,3.357,-0.061
-0.267,-0.283,0.944,3.052,3.113,-0.977
-0.272,-0.261,0.950,2.930,3.052,-1.099
-0.278,-0.255,0.942,3.296,2.258,-0.671
-0.278,-0.255,0.922,4.028,1.404,-0.366
-0.283,-0.254,0.905,4.456,1.465,-0.122
-0.286,-0.253,0.892,5.188,2.014,0.305
-0.284,-0.264,0.899,5.798,3.052,0.854
-0.281,-0.279,0.922,5.798,4.456,1.648
-0.280,-0.302,0.937,5.066,5.249,2.197
-0.277,-0.327,0.936,4.333,5.371,1.831
-0.279,-0.329,0.930,3.784,5.127,0.732
-0.276,-0.299,0.923,3.174,5.005,-0.610
-0.285,-0.266,0.934,2.991,5.432,-1.343
-0.293,-0.249,0.944,3.113,5.493,-1.099
-0.294,-0.263,0.938,3.357,5.127,-0.244
-0.289,-0.284,0.934,3.174,5.005,0.427
-0.290,-0.300,0.935,3.052,5.066,0.671
-0.285,-0.304,0.939,3.113,5.188,0.305
-0.296,-0.311,0.946,2.808,5.127,-0.061
-0.301,-0.320,0.940,2.747,4.272,-0.183
-0.297,-0.336,0.923,2.991,3.357,-0.427
-0.303,-0.354,0.910,3.601,2.686,-1.160
-0.305,-0.352,0.898,3.845,2.563,-2.258
-0.309,-0.310,0.899,3.845,2.563,-3.601
-0.321,-0.275,0.907,3.906,2.747,-4.211
-0.330,-0.271,0.907,4.150,2.625,-3.418
-0.334,-0.285,0.896,4.333,2.441,-2.136
-0.340,-0.285,0.885,4.089,2.319,-1.526
-0.345,-0.282,0.867,4.333,2.441,-1.221
-0.355,-0.287,0.861,4.822,3.540,-1.038
-0.357,-0.282,0.866,5.066,4.578,-1.038
-0.360,-0.265,0.873,4.761,5.737,-0.732
-0.367,-0.271,0.874,5.005,6.165,-0.183
-0.366,-0.296,0.879,5.249,6.531,0.488
-0.365,-0.320,0.883,4.700,7.263,0.671
-0.364,-0.334,0.886,4.150,7.996,-0.061
-0.367,-0.320,0.891,4.150,8.423,-1.160
-0.375,-0.294,0.903,4.333,8.728,-1.953
-0.375,-0.284,0.916,3.784,8.972,-1.831
-0.375,-0.292,0.926,3.174,8.728,-1.587
-0.370,-0.298,0.928,3.052,8.301,-1.587
-0.362,-0.307,0.922,2.747,7.751,-1.587
-0.361,-0.317,0.914,2.380,6.775,-1.587
-0.363,-0.313,0.902,2.869,6.042,-2.136
-0.358,-0.297,0.908,3.235,6.287,-2.686
-0.358,-0.289,0.923,3.296,6.653,-2.808
-0.346,-0.298,0.933,3.967,6.775,-2.197
-0.340,-0.319,0.947,4.517,6.653,-2.014
-0.332,-0.339,0.954,4.578,6.226,-2.136
-0.325,-0.351,0.954,3.967,5.249,-2.441
-0.326,-0.348,0.945,3.479,3.967,-3.540
-0.326,-0.334,0.933,3.174,2.991,-4.883
