ax,ay,az,gx,gy,gz
0.782,-0.036,0.557,1.892,2.319,3.174
0.785,-0.038,0.558,2.075,1.831,3.052
0.789,-0.041,0.562,2.502,0.916,2.502
0.794,-0.044,0.570,2.319,0.244,2.197
0.798,-0.046,0.577,2.258,-0.305,1.953
0.800,-0.049,0.587,2.502,-0.671,1.648
0.802,-0.050,0.591,2.502,-0.610,1.587
0.802,-0.050,0.594,2.075,0.122,1.648
0.800,-0.048,0.595,2.075,1.160,2.075
0.798,-0.049,0.596,1.770,2.686,2.258
0.797,-0.047,0.591,1.343,4.333,2.136
0.797,-0.047,0.588,1.038,5.615,2.075
0.793,-0.045,0.582,1.038,6.165,1.587
0.787,-0.046,0.578,1.343,5.981,1.404
0.781,-0.048,0.574,2.258,5.310,1.465
0.774,-0.053,0.569,2.869,4.944,2.075
0.763,-0.059,0.561,3.174,5.127,3.052
0.768,-0.060,0.557,3.479,5.676,4.089
0.782,-0.061,0.553,3.601,6.287,4.883
0.788,-0.065,0.551,3.845,6.531,4.639
0.793,-0.069,0.549,4.150,5.737,3.845
0.799,-0.074,0.552,4.517,4.578,3.174
0.795,-0.082,0.554,5.249,3.296,2.808
0.795,-0.083,0.556,5.432,2.258,2.991
0.792,-0.084,0.557,5.554,1.709,3.723
0.785,-0.083,0.560,5.554,1.587,4.333
0.779,-0.080,0.561,5.493,1.892,4.395
0.781,-0.075,0.561,5.371,2.686,4.395
0.781,-0.071,0.560,5.066,3.784,4.639
0.783,-0.065,0.559,4.761,4.578,5.005
0.781,-0.055,0.556,4.517,5.066,5.554
0.782,-0.047,0.554,4.517,5.188,5.737
0.786,-0.037,0.552,4.395,5.127,6.042
0.789,-0.025,0.551,4.333,4.456,6.104
0.788,-0.018,0.552,4.639,3.784,6.287
0.787,-0.010,0.553,4.761,2.930,6.287
0.780,-0.005,0.555,4.578,2.014,6.104
0.772,-0.002,0.558,4.395,1.343,5.981
0.770,-0.003,0.563,4.150,1.099,6.104
0.782,-0.005,0.569,3.662,1.282,7.202
0.786,-0.003,0.575,2.869,1.648,8.301
0.797,-0.002,0.580,2.441,1.892,8.545
0.808,-0.003,0.586,2.319,2.380,7.996
0.805,-0.003,0.588,2.319,2.991,6.592
0.800,-0.003,0.587,2.258,3.235,5.066
0.799,-0.003,0.583,2.136,3.967,4.272
0.793,-0.002,0.575,1.953,4.883,3.906
0.787,-0.001,0.568,2.075,5.615,3.906
0.792,-0.007,0.561,1.892,5.859,3.601
0.786,-0.005,0.552,1.404,5.676,2.991
0.780,-0.005,0.547,1.404,5.066,1.831
0.777,-0.014,0.543,1.587,4.456,0.977
0.772,-0.021,0.541,1.160,3.357,0.488
0.770,-0.026,0.539,0.732,2.380,0.244
0.770,-0.036,0.544,1.038,1.831,0.366
0.773,-0.043,0.548,1.038,1.587,0.427
0.779,-0.050,0.549,1.343,1.282,0.305
0.782,-0.055,0.550,1.709,1.221,0.244
0.784,-0.059,0.549,1.831,1.038,-0.122
0.785,-0.063,0.550,2.197,0.732,-0.305
