ax,ay,az
0.466040,0.257664,1.194868
0.430172,0.241316,1.193648
0.395280,0.238632,1.161928
0.347944,0.264984,1.133868
0.299144,0.286944,1.102148
0.245464,0.302560,1.064816
0.196664,0.318176,1.020164
0.155916,0.323300,0.983076
0.114192,0.310612,0.950624
0.082472,0.288652,0.923052
0.053192,0.270596,0.901336
0.032940,0.243512,0.881084
0.021472,0.236192,0.866688
0.023180,0.256688,0.851316
0.048800,0.290604,0.788852
0.062220,0.278404,0.790072
0.080520,0.259128,0.822036
0.096136,0.241804,0.843508
0.120292,0.247660,0.839360
0.142252,0.272060,0.815936
0.157380,0.306220,0.794220
0.166896,0.325984,0.757376
0.178364,0.332816,0.712236
0.198128,0.332328,0.672220
0.224480,0.328180,0.644404
0.252296,0.319884,0.652944
0.281088,0.306464,0.677588
0.301096,0.292068,0.705892
0.318664,0.269864,0.726388
0.342088,0.233020,0.740052
0.360876,0.190564,0.747128
0.374052,0.125660,0.765184
0.377712,0.073932,0.802028
0.359412,0.047580,0.807396
0.331596,0.042700,0.800564
0.314760,0.047092,0.786900
0.297680,0.052460,0.774700
0.275964,0.023180,0.583404
0.351848,-0.218868,0.390888
0.407480,-0.086864,0.432612
0.434564,-0.021716,0.535824
0.440664,-0.012200,0.620736
0.440420,0.015616,0.730780
0.448472,0.006344,0.812276
0.460428,-0.013908,0.914024
0.461404,-0.032452,1.015528
0.440420,-0.052948,1.076772
0.394792,-0.057096,1.088728
0.354288,-0.080764,1.045540
0.323544,-0.118096,0.992348
0.302560,-0.151524,0.954772
0.288652,-0.115900,1.068720
0.300608,-0.199836,1.084092
0.300120,-0.231556,1.094096
0.297192,-0.242780,1.114104
0.291092,-0.278404,1.107760
0.283284,-0.297924,1.077260
0.271328,-0.324764,0.969656
0.255712,-0.394548,0.746152
0.263764,-0.495808,0.693936
0.210084,-0.297436,0.548024
0.135176,0.022936,0.460428
0.134200,0.131272,0.604632
0.216428,0.055388,0.889624
0.296216,0.000488,1.091412
0.331840,-0.005368,1.110932
0.336964,-0.007076,1.052860
0.329888,-0.021960,0.982832
0.311588,-0.050996,0.840824
0.282064,-0.142252,0.858392
0.284748,-0.172508,0.881328
0.288164,-0.177144,0.907192
0.272304,-0.165920,0.908656
0.250832,-0.141520,0.869128
0.223016,-0.125416,0.852780
0.220332,-0.118340,0.879620
0.243756,-0.112728,0.911584
0.277672,-0.099064,0.943548
0.303780,-0.094916,0.971364
0.326472,-0.087840,0.987468
0.343308,-0.068808,0.982100
0.365756,-0.039040,0.948184
0.389180,0.040260,0.940620
0.409676,0.098576,0.997960
0.431148,0.134200,1.109956
0.458476,0.102724,1.179740
0.461404,-0.077104,1.277584
0.455548,-0.128832,1.287588
0.453596,-0.098820,1.270996
0.440420,0.001220,1.238300
0.413336,0.112728,1.200968
0.375516,0.189100,1.175592
0.347700,0.209596,1.158024
0.335256,0.182512,1.137040
0.338672,0.133468,1.126060
0.335500,0.078324,1.114592
0.317688,0.046116,1.094340
0.278648,0.044652,1.048224
0.224236,0.056852,0.988932
0.172264,0.058804,0.916220
0.134932,0.047580,0.852536
0.115656,0.023912,0.799588
0.113948,-0.002684,0.755180
0.117608,-0.045140,0.681248
0.119316,-0.033916,0.619272
0.136884,-0.012444,0.502884
0.162504,0.121756,0.599508
0.171532,-0.117364,0.573156
0.191052,-0.051728,0.603656
0.206424,-0.020740,0.588284
0.213500,0.004636,0.573888
0.212036,0.048800,0.572180
0.206912,0.083692,0.571936
0.196908,0.105652,0.564128
0.199592,0.109068,0.550952
0.218380,0.084912,0.529480
0.255224,0.029280,0.520696
0.286944,0.023668,0.533628
0.298412,0.082472,0.541680
0.288164,0.152012,0.549244
0.264740,0.204228,0.550708
0.238144,0.226676,0.552172
0.215940,0.229848,0.551196
0.206180,0.265228,0.533140
0.203496,0.343552,0.523136
0.207156,0.413824,0.555344
0.210084,0.462136,0.613416
0.222772,0.513132,0.672220
0.238144,0.582672,0.699792
0.128588,0.328668,0.818620
0.021228,0.153964,0.905240
-0.053192,0.141276,0.862052
-0.084180,0.216428,0.728340
-0.088328,0.285480,0.613660
-0.085644,0.344040,0.572912
-0.076128,0.381860,0.594384
-0.067344,0.413580,0.666120
-0.058316,0.447496,0.711504
-0.048800,0.488000,0.705160
-0.018788,0.488244,0.667340
0.031964,0.458232,0.639768
0.102968,0.408700,0.636596
0.173972,0.370636,0.638060
0.231556,0.356484,0.642452
0.265960,0.363560,0.642940
0.276208,0.381128,0.640012
0.268400,0.402356,0.641964
0.254980,0.422364,0.647820
0.240096,0.437736,0.652700
0.247416,0.492636,0.635620
0.259616,0.502884,0.611952
0.265228,0.500200,0.588528
0.266936,0.477508,0.559736
0.268156,0.436028,0.515084
0.269376,0.392596,0.459940
0.268156,0.357704,0.396256
0.261568,0.325496,0.344040
0.253516,0.288164,0.308416
0.239120,0.259860,0.279624
0.205448,0.263276,0.281820
0.148840,0.284260,0.262544
0.086376,0.320128,0.251320
0.030256,0.374540,0.293532
-0.024400,0.469700,0.361852
-0.091988,0.645868,0.433832
-0.165920,0.861076,0.518744
-0.222040,1.054324,0.598044
-0.236680,1.205116,0.641964
-0.229116,1.340536,0.667340
-0.215208,1.492792,0.694180
-0.171044,1.658712,0.720776
0.046116,1.957368,0.750056
0.182512,2.110356,0.803736
0.326716,2.308240,0.877180
0.471408,2.540040,0.941352
0.638060,2.763544,1.011380
0.817400,2.942396,1.082628
0.989664,3.076108,1.139968
1.154364,3.183712,1.208288
1.319796,3.201768,1.279292
1.470832,3.185908,1.372500
1.603568,3.192008,1.450336
1.706536,3.207624,1.497184
1.765828,3.214212,1.507920
1.768512,3.176148,1.477664
1.742648,3.080744,1.417396
1.683844,2.956548,1.315404
1.585512,2.840404,1.186816
1.420568,2.732068,1.022604
1.219756,2.580056,0.869860
1.042124,2.353624,0.716384
0.892552,2.104988,0.564860
0.747860,1.837564,0.428952
0.610488,1.529392,0.316956
0.479216,1.245620,0.211060
0.357216,1.044808,0.151768
0.175436,0.642452,0.090524
-0.190076,0.249368,0.114192
-0.377712,0.102236,0.161040
-0.567544,-0.065148,0.243512
-0.761280,-0.235216,0.389180
-0.951112,-0.358680,0.575108
-1.122156,-0.436516,0.766648
-1.241228,-0.549244,0.955016
-1.331508,-0.696132,1.094096
-1.443748,-0.822280,1.171688
-1.552572,-0.927932,1.206580
-1.720932,-0.997228,1.206092
-1.963468,-1.106052,1.040416
-2.420724,-1.069452,0.905240
-2.582496,-1.001376,0.723948
-2.674240,-0.900604,0.537044
-2.701812,-0.781288,0.314760
-2.717184,-0.751032,0.050752
-2.640324,-0.621224,-0.142496
-2.504172,-0.569984,-0.263520
-2.269444,-0.564616,-0.332816
-2.002996,-0.551196,-0.326228
-1.719712,-0.531188,-0.276208
-1.488888,-0.510204,-0.231312
-1.220488,-0.376492,-0.054656
-1.155828,-0.212524,0.066124
-1.133136,-0.009028,0.173728
-1.124352,0.194224,0.245464
-1.112640,0.408944,0.274988
-1.069940,0.612928,0.243512
-1.024068,0.811544,0.198860
-0.982100,1.008452,0.137372
-0.936716,1.205848,0.068076
-0.899384,1.454972,0.021228
-0.882548,1.774124,-0.026108
-0.841068,2.116456,-0.125416
-0.721020,2.450248,-0.284260
-0.308172,3.208600,-0.315004
-0.094184,3.597780,-0.364536
0.118340,3.919616,-0.448960
0.371612,4.128724,-0.538508
0.657824,4.244136,-0.573156
0.967704,4.298060,-0.613416
1.287588,4.299036,-0.700036
1.595516,4.272440,-0.839604
1.831464,4.245356,-1.012600
1.941752,4.162884,-1.147532
1.966884,4.052596,-1.216340
1.988600,3.957924,-1.135820
1.953952,3.887652,-0.971120
1.835856,3.796152,-0.820328
1.672132,3.732956,-0.589016
1.312476,3.768824,-0.492636
1.111176,3.769800,-0.467260
0.932568,3.697820,-0.526796
0.774456,3.591192,-0.569740
0.663924,3.419660,-0.559980
0.578768,3.212504,-0.523624
0.459940,3.074644,-0.397232
0.283772,2.975824,-0.249368
0.207400,2.670824,-0.248880
0.126880,2.487824,-0.141276
-0.009760,2.368264,-0.079544
-0.218380,2.229672,-0.017080
-0.484828,2.044720,0.094672
-0.800808,1.738744,0.266692
-1.107028,1.367132,0.451400
-1.353712,0.955992,0.549976
-1.738256,0.233752,0.462136
-1.946144,-0.166652,0.401136
-2.165988,-0.584380,0.428220
-2.355576,-0.988688,0.570960
-2.470256,-1.389092,0.809592
-2.516616,-1.700680,1.081652
-2.569808,-1.840492,1.360788
-2.683268,-1.912960,1.558428
-2.821860,-1.977620,1.691408
-2.933368,-2.043256,1.769244
-2.991440,-2.053748,1.737768
-3.201768,-1.976888,1.527928
-3.304736,-1.867332,1.284660
-3.381352,-1.696044,0.979172
-3.395992,-1.492792,0.809104
-3.363540,-1.228296,0.596824
-2.987048,-1.052128,0.559248
-2.954352,-0.665876,0.407968
-2.997296,-0.455304,0.390156
-2.811368,-0.212768,0.446276
-2.455616,0.063196,0.579012
-2.159156,0.259860,0.662460
-1.975180,0.476044,0.657580
-1.839516,0.693204,0.649528
-1.709464,1.088484,0.554368
-1.436428,1.223416,0.446764
-1.299300,1.342976,0.345504
-1.153144,1.429596,0.246684
-0.985028,1.497916,0.169336
-0.799100,1.595028,0.093452
-0.643916,1.793888,0.004148
-0.524844,2.055212,-0.130540
-0.403576,2.359724,-0.351848
-0.254492,2.734752,-0.608536
-0.056364,3.174196,-0.824476
0.201300,3.585580,-1.021384
0.494100,3.909612,-1.101904
0.784460,4.194604,-1.118496
1.064816,4.424940,-1.216096
1.625772,4.436408,-1.316380
1.691652,4.268292,-1.429596
1.708000,4.000868,-1.411540
1.700680,3.711240,-1.336144
1.690676,3.526044,-1.229028
1.705072,3.449428,-1.101660
1.729228,3.446256,-0.983564
1.732400,3.452600,-0.889868
1.657492,3.499692,-0.807884
1.494988,3.490908,-0.734928
1.289784,3.443572,-0.662216
1.052616,3.395504,-0.600728
0.827648,3.318400,-0.523624
0.614636,3.212748,-0.416996
0.424560,3.100508,-0.286700
0.248636,3.007788,-0.175192
0.071980,2.950692,-0.079300
-0.096380,2.888960,0.073200
-0.370392,2.642764,0.200080
-0.459452,2.465132,0.315980
-0.523380,2.330200,0.419436
-0.610732,2.073512,0.511424
-0.646356,1.926868,0.647332
-0.660264,1.736548,0.761768
-0.670512,1.568676,0.860100
-0.725168,1.441552,0.939644
-0.828624,1.371036,0.955260
-0.958920,1.277584,0.953064
-1.082872,1.073844,0.959408
-1.228296,0.746152,0.950624
-1.396900,0.393816,0.890844
-1.583560,0.090036,0.705648
-1.712880,-0.133712,0.105408
-1.371768,-0.424072,-0.135908
-1.593076,-0.423584,-0.489220
-1.867088,-0.320616,-0.556320
-2.173308,-0.257664,-0.593652
-2.437316,-0.162504,-0.509716
-2.551508,-0.148840,-0.497516
-2.409500,-0.241316,-0.508008
-2.085468,-0.369172,-0.418216
-1.738012,-0.464088,-0.025376
-1.340536,-0.588040,0.095160
-1.295396,-0.603656,0.258884
-1.271728,-0.640988,0.386252
-1.239032,-0.655384,0.471652
-1.203408,-0.634400,0.542412
-1.174128,-0.591944,0.584624
-1.143872,-0.526552,0.618540
-1.116056,-0.479460,0.625616
-1.085068,-0.438468,0.626104
-1.062620,-0.382592,0.626836
-1.046272,-0.305000,0.620980
-1.009184,-0.243024,0.568520
-0.987224,-0.254980,0.514108
-0.955748,-0.291824,0.469456
-0.927932,-0.330376,0.432856
-0.911828,-0.366976,0.391376
-0.909388,-0.395036,0.336232
-0.917440,-0.397720,0.276940
-0.920124,-0.399672,0.204228
-0.916220,-0.417484,0.116388
-0.912560,-0.435052,0.022692
-0.923540,-0.415776,-0.071248
-0.934032,-0.331108,-0.209352
-0.923540,-0.322324,-0.225944
-0.914756,-0.252296,-0.222040
-0.906948,-0.163724,-0.206180
-0.896212,-0.075640,-0.169336
-0.881572,0.005612,-0.119560
-0.861076,0.092720,-0.037576
-0.833504,0.184708,0.060268
-0.806420,0.268888,0.154452
-0.773236,0.339404,0.236924
-0.736392,0.405284,0.318908
-0.694668,0.520696,0.496540
-0.618296,0.534360,0.596824
-0.586820,0.552172,0.684176
-0.560712,0.569008,0.767624
-0.548268,0.585112,0.840092
-0.547780,0.606096,0.906948
-0.556564,0.626836,0.955748
-0.569984,0.660020,1.000644
-0.585356,0.703208,1.039440
-0.605120,0.760792,1.065548
-0.622932,0.830088,1.083116
-0.652212,0.893772,1.099464
-0.691008,0.958188,1.111908
-0.731756,1.027240,1.126060
-0.770308,1.100196,1.140212
-0.800320,1.176080,1.147288
-0.822036,1.252696,1.148508
-0.849852,1.395436,1.091656
-0.743468,1.450092,1.041392
-0.730780,1.597956,1.063596
-0.747372,1.742892,1.004304
-0.765428,1.872700,0.929640
-0.778848,1.983720,0.865956
-0.749568,2.060580,0.807152
-0.691496,2.132072,0.749324
-0.619272,2.203320,0.674416
-0.520940,2.313364,0.550220
-0.425292,2.412184,0.416752
-0.368684,2.520520,0.279380
-0.337940,2.646180,0.150060
-0.291824,2.769400,0.027328
-0.167384,2.805512,-0.089304
-0.169580,2.783064,-0.131028
-0.002684,2.724748,-0.113704
0.118340,2.648132,-0.068320
0.215940,2.535648,-0.018056
0.286944,2.397056,0.053680
0.335256,2.259684,0.151036
