ax,ay,az
0.143472,-0.048800,1.002596
0.153232,-0.042212,1.001132
0.149084,-0.043188,1.000400
0.142252,-0.055144,1.000644
0.137860,-0.061976,1.000400
0.137372,-0.067100,1.000400
0.141032,-0.064172,1.001132
0.142740,-0.062464,1.000156
0.141520,-0.055632,0.987468
0.143960,-0.048068,0.978196
0.144692,-0.045384,0.971120
0.145180,-0.049288,0.971120
0.143472,-0.055876,0.972584
0.141520,-0.058560,0.967460
0.139568,-0.061244,0.960872
0.140788,-0.062220,0.974048
0.144692,-0.066368,0.983320
0.142496,-0.072956,0.991372
0.137372,-0.076372,0.994056
0.137860,-0.076372,0.995276
0.134932,-0.076128,1.000156
0.133224,-0.086132,1.002840
0.126636,-0.090036,1.003084
0.123952,-0.088084,1.001620
0.123464,-0.083936,1.000400
0.124928,-0.081496,1.000400
0.131760,-0.080764,1.000400
0.133712,-0.084912,1.002108
0.134444,-0.090524,1.007476
0.130784,-0.093452,1.005524
0.129808,-0.090280,1.001620
0.130540,-0.084668,1.000644
0.132492,-0.082960,1.000888
0.134688,-0.091744,1.008208
0.136640,-0.089060,1.010404
0.134688,-0.086132,1.007232
0.129076,-0.080032,1.001132
0.127612,-0.076616,0.999912
0.129320,-0.073200,0.999912
0.128344,-0.072224,0.995276
0.132248,-0.068320,0.994056
0.134688,-0.067100,0.994056
0.132980,-0.062952,0.991860
0.134688,-0.064416,0.986736
0.135908,-0.063684,0.988688
0.136396,-0.070516,0.989664
0.137616,-0.072956,0.993324
0.143960,-0.075396,0.995032
0.143960,-0.074908,0.994300
0.141764,-0.072468,0.991616
0.138348,-0.077836,0.991372
0.131760,-0.085644,1.001376
0.120292,-0.083692,1.002108
0.117364,-0.080032,1.000400
0.120536,-0.078080,1.000156
0.124440,-0.073688,1.000644
0.126636,-0.072224,1.004060
0.128100,-0.075640,1.007964
0.123464,-0.076616,1.006012
0.116632,-0.076372,1.000644
0.115168,-0.081252,0.994056
0.116632,-0.079056,0.991372
0.120536,-0.072712,0.994300
0.120780,-0.072712,0.997472
0.120292,-0.076372,0.995764
0.118096,-0.081252,0.995032
0.115656,-0.077592,0.994300
0.116388,-0.074176,0.992836
0.118096,-0.075152,0.995764
0.118096,-0.075152,1.000400
0.115168,-0.088572,1.000644
0.110288,-0.085400,1.000400
0.109312,-0.076372,1.000644
0.112728,-0.069784,1.000156
0.111752,-0.075152,1.000644
0.113704,-0.077592,1.000400
0.108092,-0.081984,0.998692
0.106872,-0.087108,0.996496
0.103456,-0.086132,0.994300
0.100772,-0.085888,0.989664
0.102724,-0.079788,0.989420
0.102236,-0.077348,0.983076
0.104920,-0.081496,0.984296
0.104432,-0.082960,0.987224
0.104920,-0.083692,0.986980
0.101748,-0.085888,0.986736
0.105164,-0.084180,0.982588
0.106140,-0.084180,0.983564
0.106628,-0.095648,0.994544
0.106384,-0.096624,0.997472
0.105896,-0.089060,0.999668
0.104676,-0.085156,0.999180
0.104920,-0.087352,0.999424
0.105408,-0.086132,0.994544
0.101748,-0.079788,0.990152
0.100528,-0.083204,0.990396
0.097112,-0.091500,0.992592
0.100284,-0.094916,0.991128
0.100040,-0.091988,0.987712
0.103212,-0.089304,0.982832
0.107848,-0.089548,0.982832
0.112240,-0.091988,0.986248
0.111752,-0.092476,0.990640
0.114924,-0.091744,0.990640
0.113704,-0.090280,0.989908
0.114924,-0.091256,0.987956
0.114680,-0.074176,0.992348
0.119560,-0.074176,0.996008
0.119560,-0.086620,0.999424
0.118584,-0.096868,1.000644
0.111020,-0.094184,1.000400
0.109800,-0.087840,0.999912
0.108336,-0.086132,0.993324
0.113704,-0.086864,0.992836
0.119316,-0.086620,0.994300
0.124684,-0.086376,0.995276
0.126636,-0.088572,0.996496
0.124684,-0.089792,0.992836
0.121512,-0.091256,0.989664
0.118828,-0.086376,0.990396
0.120536,-0.086132,0.988444
0.124928,-0.085888,0.993812
0.129076,-0.085888,1.061400
0.133224,-0.093940,1.004060
0.132248,-0.097112,1.008208
0.133468,-0.091988,1.004548
0.133224,-0.086864,1.000400
0.135176,-0.092476,0.993568
0.136640,-0.094672,0.994788
0.137128,-0.097112,0.999180
0.133224,-0.093208,1.000888
0.133468,-0.090036,1.002352
0.132004,-0.083448,1.000644
0.134688,-0.081008,0.994056
0.135908,-0.081984,0.993568
0.134932,-0.081496,0.993568
0.134444,-0.082472,0.995276
0.130052,-0.084180,0.998692
0.121756,-0.083448,0.995764
0.115656,-0.079544,0.999912
0.113948,-0.076128,0.999180
0.112484,-0.074176,0.997472
0.109800,-0.076616,0.998936
0.105408,-0.081252,1.000888
0.097844,-0.081496,1.001620
0.092232,-0.077592,1.000400
0.086620,-0.073688,0.995032
0.083936,-0.076128,0.991616
0.083692,-0.081008,0.993324
0.083936,-0.083936,0.997716
0.083448,-0.084912,0.999424
0.083692,-0.081252,0.999424
0.083204,-0.092720,0.993324
0.083936,-0.096136,0.996008
0.083448,-0.094184,0.995520
0.083448,-0.089792,0.997472
0.083448,-0.091744,0.996008
0.082960,-0.094672,0.994300
0.082472,-0.096380,0.987224
0.082960,-0.094184,0.986736
0.084180,-0.096624,0.984540
0.087596,-0.098576,0.985272
0.089304,-0.093940,0.984784
0.090036,-0.094184,0.980392
0.090768,-0.096624,0.979172
0.090524,-0.095404,0.979416
0.092232,-0.111508,0.980392
0.095892,-0.111996,0.992348
0.098576,-0.102236,0.996740
0.099796,-0.100284,0.995764
0.102724,-0.105896,0.992592
0.107116,-0.111508,0.989420
0.105896,-0.114680,0.989176
0.107604,-0.112972,0.992348
0.106628,-0.112240,0.996008
0.105164,-0.108092,0.993080
0.103212,-0.097356,0.973560
0.106628,-0.099796,0.975512
0.111752,-0.104676,0.981612
0.117364,-0.109312,0.984784
0.116876,-0.110288,0.985760
0.113216,-0.111264,0.989908
0.108580,-0.110532,0.993080
0.105896,-0.111020,0.995520
0.101748,-0.107360,0.995520
0.103456,-0.105408,0.996008
0.103456,-0.105652,0.993080
0.101260,-0.105408,0.990396
0.103944,-0.103700,0.983808
0.105652,-0.095404,0.976732
0.107116,-0.091256,0.971608
0.108824,-0.096136,0.979416
0.101016,-0.102236,1.001376
0.095160,-0.095404,1.000888
0.092720,-0.096136,0.997960
0.091500,-0.094672,0.995032
0.095160,-0.094672,0.998204
0.100284,-0.096136,0.996252
0.103700,-0.097844,0.994544
0.106628,-0.097356,0.989420
0.111020,-0.097600,0.986736
0.108580,-0.098088,0.987712
0.104920,-0.097112,0.986736
0.102968,-0.090036,0.986492
0.102480,-0.086620,0.984540
0.106384,-0.086620,0.985272
0.111996,-0.085644,0.987956
0.119560,-0.083204,0.993568
0.120048,-0.083936,1.000400
0.116144,-0.086132,1.003328
0.111508,-0.093940,1.000644
0.107116,-0.089304,0.999912
0.109068,-0.090036,1.000156
0.109312,-0.085644,1.002108
0.112484,-0.080276,1.003572
0.112972,-0.081984,1.004792
0.112972,-0.084668,1.001620
0.113216,-0.090036,1.001376
0.113460,-0.093208,1.000644
0.110288,-0.096380,1.000888
0.110532,-0.099308,1.000400
0.105408,-0.090036,0.989908
0.100772,-0.082228,0.978928
0.103212,-0.075396,0.975024
0.107604,-0.075152,0.978196
0.108336,-0.082472,0.992348
0.104188,-0.090768,1.000644
0.101992,-0.091256,1.006256
0.096868,-0.089304,1.010648
0.089548,-0.083936,1.014796
0.087108,-0.086864,1.013088
0.089792,-0.090524,1.010648
0.090036,-0.089060,1.007964
0.089060,-0.090036,1.006744
0.091988,-0.090280,1.003816
0.091256,-0.089304,1.000888
0.090768,-0.085888,1.000156
0.092964,-0.084180,0.997228
0.093696,-0.085644,0.992836
0.096136,-0.085888,0.986492
0.099552,-0.088084,0.983564
0.101748,-0.092964,0.987468
0.103700,-0.094672,0.988932
0.104432,-0.098088,0.991128
0.104432,-0.098332,0.991128
0.102724,-0.096380,0.988932
0.106872,-0.094428,0.988932
0.108580,-0.093696,0.984052
0.112728,-0.097112,0.986004
0.114192,-0.100284,0.991128
0.109800,-0.099796,0.992592
0.107116,-0.096624,0.987956
0.101016,-0.090036,0.979416
0.101016,-0.089792,0.978684
0.103456,-0.089304,0.984296
0.105896,-0.091988,0.988932
0.110288,-0.095160,0.993324
0.111264,-0.097356,0.996008
0.110288,-0.093940,0.996008
0.106628,-0.091012,0.994300
0.106384,-0.090036,0.989908
0.107604,-0.092232,0.987956
0.109800,-0.094672,0.992104
0.112972,-0.096868,0.991616
0.114436,-0.094428,0.994544
0.112972,-0.091012,0.993568
0.111996,-0.090524,0.990152
0.113948,-0.091988,0.987468
0.114436,-0.094916,0.987956
0.113216,-0.095648,0.992348
0.112484,-0.091256,0.995520
0.109068,-0.087840,0.993812
0.110044,-0.087352,0.993324
0.111752,-0.084424,0.992348
0.112240,-0.088328,0.990396
0.113216,-0.088572,0.990396
0.112728,-0.087840,0.986980
0.116632,-0.088572,0.991128
0.117608,-0.094428,0.994544
0.115656,-0.093452,0.997960
0.114436,-0.083692,0.995520
0.111264,-0.075884,0.989664
0.107116,-0.080520,0.989664
0.104920,-0.078568,0.990884
0.103456,-0.075152,0.991128
0.105408,-0.070516,0.987224
0.108824,-0.073444,0.986980
0.111508,-0.075640,0.990396
0.111508,-0.076860,0.993568
0.110532,-0.076372,0.996252
0.106140,-0.077836,0.993812
0.103944,-0.078324,0.987956
0.101748,-0.075396,0.986492
0.100040,-0.071980,0.990396
0.100772,-0.068076,0.989908
0.103944,-0.066612,0.987224
