Initialize correctly IMU!
Step Detector Configured. Starting...
ax,ay,az,state,step_detected
Measured Frequency: 0 Hz
-0.098820,0.007564,1.001376,LOOKING_FOR_FIRST_MAX,0
-0.092232,0.011956,0.988688,LOOKING_FOR_FIRST_MAX,0
-0.080520,0.014396,0.979416,LOOKING_FOR_FIRST_MAX,0
-0.071004,0.009516,0.960872,LOOKING_FOR_FIRST_MAX,0
-0.046360,0.000244,0.949648,LOOKING_FOR_FIRST_MAX,0
-0.035136,-0.003172,0.968436,LOOKING_FOR_FIRST_MAX,0
-0.027816,-0.016836,0.955504,LOOKING_FOR_FIRST_MAX,0
-0.020496,-0.025864,0.941108,LOOKING_FOR_FIRST_MAX,0
-0.009760,-0.020984,0.947208,LOOKING_FOR_FIRST_MAX,0
-0.001708,-0.020984,0.938424,LOOKING_FOR_FIRST_MAX,0
0.005368,-0.016348,0.938912,LOOKING_FOR_FIRST_MAX,0
0.022448,-0.019276,0.937692,LOOKING_FOR_FIRST_MAX,0
0.029524,-0.014640,0.945256,LOOKING_FOR_FIRST_MAX,0
0.034892,-0.012932,0.949892,LOOKING_FOR_FIRST_MAX,0
0.035624,-0.012932,0.959652,LOOKING_FOR_FIRST_MAX,0
0.040748,-0.014152,0.965264,LOOKING_FOR_FIRST_MAX,0
0.040260,-0.010004,0.978440,LOOKING_FOR_FIRST_MAX,0
0.034404,0.004636,0.981124,LOOKING_FOR_FIRST_MAX,0
0.030012,0.012444,0.972828,LOOKING_FOR_FIRST_MAX,0
0.024400,0.017568,0.971364,LOOKING_FOR_FIRST_MAX,0
0.018300,0.029524,0.965752,LOOKING_FOR_FIRST_MAX,0
0.016104,0.036600,0.970632,LOOKING_FOR_FIRST_MAX,0
0.017324,0.041968,0.986736,LOOKING_FOR_FIRST_MAX,0
0.023912,0.057340,0.987224,LOOKING_FOR_FIRST_MAX,0
0.024400,0.067588,0.992348,LOOKING_FOR_FIRST_MAX,0
0.025620,0.066124,0.991128,LOOKING_FOR_FIRST_MAX,0
0.021472,0.066368,0.996008,LOOKING_FOR_FIRST_MAX,0
0.016592,0.065636,1.000400,LOOKING_FOR_FIRST_MAX,0
0.008540,0.064660,1.004548,LOOKING_FOR_FIRST_MAX,0
0.001220,0.056364,1.005768,LOOKING_FOR_FIRST_MAX,0
-0.017324,0.049776,1.039928,LOOKING_FOR_FIRST_MAX,0
-0.028304,0.039528,1.042124,LOOKING_FOR_FIRST_MAX,0
-0.035380,0.032940,1.049932,LOOKING_FOR_FIRST_MAX,0
-0.037088,0.030012,1.051884,LOOKING_FOR_FIRST_MAX,0
-0.034160,0.026352,1.046516,LOOKING_FOR_FIRST_MAX,0
-0.030012,0.024888,1.044808,LOOKING_FOR_FIRST_MAX,0
-0.024400,0.031720,1.026508,LOOKING_FOR_FIRST_MAX,0
-0.014884,0.034892,1.014796,LOOKING_FOR_FIRST_MAX,0
-0.017812,0.036356,1.003328,LOOKING_FOR_FIRST_MAX,0
-0.018300,0.039528,0.995764,LOOKING_FOR_FIRST_MAX,0
-0.017324,0.040748,0.987956,LOOKING_FOR_FIRST_MAX,0
-0.022692,0.037576,0.975512,LOOKING_FOR_FIRST_MAX,0
-0.030500,0.035624,0.968680,LOOKING_FOR_FIRST_MAX,0
-0.053192,0.041724,0.925492,LOOKING_FOR_FIRST_MAX,0
-0.056852,0.036112,0.917440,LOOKING_FOR_FIRST_MAX,0
-0.057584,0.028060,0.930128,LOOKING_FOR_FIRST_MAX,0
-0.056852,0.020496,0.950868,LOOKING_FOR_FIRST_MAX,0
